GenomeID	GenomeName
CLI4675	Pseudo_JS090511-01
CLI4837	Pseudo_EC080624-04
CLI10783	Pseudo_SP020602-02
ICBG5	Pseudo_JSC141020-01
CLI7430	Pseudo_CC031212-01
CLI7404	Pseudo_CC030327-02
CLI4796	Pseudo_EC080525-05
CLI4800	Pseudo_EC080529-05
CLI4797	Pseudo_EC080525-06
ICBG8	Pseudo_JSC111027-01
CLI4613	Pseudo_AL050505-11
PseP1	Pseudo_P1
CCP3	Pseudo_EC060123-09
CLI4784	Pseudo_EC070717-09
CLI4803	Pseudo_EC080529-15
CLI4804	Pseudo_EC080529-16
CLI4832	Pseudo_EC080623-03
CLI4838	Pseudo_EC080624-07
CLI7460	Pseudo_CC011120-04
CLI7405	Pseudo_CC011120-01
CLI4792	Pseudo_EC080524-04
CLI4828	Pseudo_EC080619-08
CLI4798	Pseudo_EC080525-24
CLI4794	Pseudo_EC080524-14
CLI4791	Pseudo_EC080524-01
CLI4799	Pseudo_EC080529-01
CLI4831	Pseudo_EC080623-01
CLI4805	Pseudo_EC080529-19
CLI4806	Pseudo_EC080529-20
CLI4808	Pseudo_EC080603-07
CLI4801	Pseudo_EC080529-09
CLI4816	Pseudo_EC080617-15
CLI4819	Pseudo_EC080618-04
CLI4814	Pseudo_EC080617-07
CLI4813	Pseudo_EC080617-04
CLI4815	Pseudo_EC080617-12
CLI4839	Pseudo_EC080625-04
CLI4829	Pseudo_EC080619-09
CLI4821	Pseudo_EC080618-06
CLI4824	Pseudo_EC080618-16
CLI4820	Pseudo_EC080618-05
CLI4811	Pseudo_EC080610-09
CLI4822	Pseudo_EC080618-12
CLI4825	Pseudo_EC080618-17
CLI4812	Pseudo_EC080610-11
CLI4845	Pseudo_MS-02